broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance
BRD-K04394237-001-03-7	drospirenone	mineralocorticoid receptor antagonist	AR, NR3C2, PGR	14	13	0.0890823954708	0.111192280924	-0.0221098854532	0.1984628844147559	1.0	mineralocorticoid receptor antagonist ar, nr3c2, pgr	other
BRD-K80359953-001-01-3	talampanel	glutamate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4	16	15	0.08840693365915	0.11043606023	-0.02202912657084999	0.3328209099640991	1.0	glutamate receptor antagonist gria1, gria2, gria3, gria4	other
BRD-K18905250-003-02-4	ST-91	adrenergic receptor agonist		15	15	0.113761867016	0.135771734315	-0.022009867299000008	0.7400217511938185	1.0	adrenergic receptor agonist 	other
BRD-A12454076-001-01-9	L-Hydroxyproline			14	13	0.193443010736	0.215370879631	-0.02192786889499998	0.827142619238411	1.0	 	other
BRD-A68888262-003-15-1	azelastine	histamine receptor antagonist	HRH1	15	15	0.0928867251085	0.114807625496	-0.021920900387499997	0.4553018964198552	1.0	histamine receptor antagonist hrh1	other
BRD-K54262262-001-09-0	monobenzone	melanin inhibitor	TYR	14	15	0.3445288499025	0.36625705748	-0.02172820757749999	0.810299496070296	1.0	melanin inhibitor tyr	other
BRD-K81092066-311-01-6	phenacaine	local anesthetic		14	15	-0.014998681031149999	0.00666856503639	-0.02166724606754	0.498738821650313	1.0	local anesthetic 	other
BRD-K41406082-001-16-2	sulfapyridine	PABA antagonist		15	15	0.135567207995	0.157096869217	-0.021529661222000007	0.6783024655972324	1.0	paba antagonist 	other
BRD-K70601687-001-01-3	enasidenib	isocitrate dehydrogenase inhibitor	IDH1	16	15	-0.06163057934504999	-0.0402742764444	-0.021356302900649993	0.9527189705620791	1.0	isocitrate dehydrogenase inhibitor idh1	other
BRD-K16758059-001-01-8	perfluamine			14	13	-0.0858493287435	-0.0646693288653	-0.021179999878200004	0.3440159425802912	1.0	 	other
BRD-K68553471-003-12-3	todralazine	antihypertensive agent		15	15	0.156916874194	0.178015924169	-0.021099049975000006	0.8357050269952793	1.0	antihypertensive agent 	other
BRD-K36741660-001-01-1	verinurad	urate transporter inhibitor	SLC22A12	16	15	0.0351534215733	0.0560159806784	-0.0208625591051	0.7072734240075108	1.0	urate transporter inhibitor slc22a12	other
BRD-K82166906-236-02-8	sodium-oxybate	benzodiazepine receptor agonist	GABRB1, HCAR1, SLC52A2	15	15	0.0864648564827	0.107326859319	-0.020862002836300006	0.5614474146848649	1.0	benzodiazepine receptor agonist gabrb1, hcar1, slc52a2	other
BRD-A12237696-001-04-2	L-Citrulline	nitric oxide stimulant	ASS1, DDAH1, DDAH2, GPRC6A, NOS1, NOS2, NOS3, OTC, PADI1, PADI2, PADI3, PADI4, PADI6	14	13	-0.1003640290923	-0.0796558436288	-0.020708185463499992	0.4233159874752107	1.0	nitric oxide stimulant ass1, ddah1, ddah2, gprc6a, nos1, nos2, nos3, otc, padi1, padi2, padi3, padi4, padi6	other
BRD-K49460120-001-02-5	10058-F4	c-Myc inhibitor		15	15	0.088909453386	0.109497320668	-0.020587867282000002	0.9338864180775845	1.0	c-myc inhibitor 	other
BRD-K86109159-001-02-6	VU0357121	glutamate receptor positive allosteric modulator	GRM5	15	15	-0.119209746229	-0.0988528473645	-0.02035689886450001	0.8034625743147712	1.0	glutamate receptor positive allosteric modulator grm5	other
BRD-K70504253-001-01-3	fruquintinib	VEGFR inhibitor	KDR	16	15	0.140440222972	0.16079177478	-0.020351551807999996	0.8588186957821996	1.0	vegfr inhibitor kdr	other
BRD-K70490179-300-01-2	rimcazole	sigma receptor antagonist	SIGMAR1	15	15	-0.00618161045716	0.0141204432693	-0.02030205372646	0.7400217511938185	1.0	sigma receptor antagonist sigmar1	other
BRD-K63630713-001-25-8	etacrynic-acid	sodium/potassium/chloride transporter inhibitor	ATP1A1, SLC12A1	15	15	0.265740946587	0.285655637079	-0.01991469049200001	0.7715511878155722	1.0	sodium/potassium/chloride transporter inhibitor atp1a1, slc12a1	other
BRD-A42699921-001-03-6	teriflunomide	dihydroorotate dehydrogenase inhibitor	DHODH	14	13	-0.35826711473649997	-0.338368193405	-0.019898921331499952	0.827142619238411	1.0	dihydroorotate dehydrogenase inhibitor dhodh	other
BRD-A92341659-001-04-0	prulifloxacin	bacterial DNA gyrase inhibitor		16	15	-0.01237266941765	0.00746766017305	-0.0198403295907	0.9212802540736247	1.0	bacterial dna gyrase inhibitor 	other
BRD-K28120222-001-08-4	parthenolide-(alternate-stereo)	NFkB pathway inhibitor	IKBKB, RELA	15	15	0.344600704404	0.364420471152	-0.01981976674800001	0.6783024655972324	1.0	nfkb pathway inhibitor ikbkb, rela	other
BRD-K70262971-001-01-9	AGN-194310	retinoid receptor antagonist	RXRA, RXRB, RXRG	16	15	-0.08247730791255001	-0.0627407258847	-0.019736582027850003	0.4890954478935938	1.0	retinoid receptor antagonist rxra, rxrb, rxrg	other
BRD-A48720949-001-04-0	testosterone-propionate	androgen receptor agonist	AR	15	15	0.0226337969306	0.0423658065685	-0.019732009637900002	0.9009714934164412	1.0	androgen receptor agonist ar	other
BRD-K22482860-001-21-4	dalfampridine	potassium channel blocker	KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNJ13, KCNJ5, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2	15	14	0.0733696991145	0.0929805856622	-0.01961088654769999	0.7106595685403921	1.0	potassium channel blocker kcna1, kcna10, kcna2, kcna3, kcna4, kcna5, kcna6, kcna7, kcnb1, kcnb2, kcnc1, kcnc2, kcnc3, kcnc4, kcnd1, kcnd2, kcnd3, kcnf1, kcng1, kcng2, kcng3, kcng4, kcnh1, kcnh2, kcnh3, kcnh4, kcnh5, kcnh6, kcnh7, kcnh8, kcnj13, kcnj5, kcnq1, kcnq2, kcnq3, kcnq4, kcnq5, kcns1, kcns2, kcns3, kcnv1, kcnv2	other
BRD-A17655518-001-24-4	ibuprofen	cyclooxygenase inhibitor	PTGS1, PTGS2	15	15	-0.127051505587	-0.107446695584	-0.019604810003000017	0.7089232340537643	1.0	cyclooxygenase inhibitor ptgs1, ptgs2	other
BRD-K15588452-003-02-7	R-96544	serotonin receptor antagonist	HTR2A	15	14	-0.200038159567	-0.180468837941	-0.019569321626000002	0.5268434347302196	1.0	serotonin receptor antagonist htr2a	other
BRD-K60511616-236-08-9	pravastatin	HMGCR inhibitor	HMGCR, SLCO1B1	15	14	0.034699972355	0.054190305822949994	-0.019490333467949997	0.9825901131969854	1.0	hmgcr inhibitor hmgcr, slco1b1	other
BRD-A51407134-001-01-9	2-octyldodecan-1-ol			14	13	-0.06279570400265	-0.043448943691	-0.019346760311650002	0.7158981921466268	1.0	 	other
BRD-K26813177-001-03-2	daltroban	thromboxane receptor antagonist	TBXA2R	16	15	0.0916982482198	0.110968851958	-0.019270603738200012	0.5400804783898523	1.0	thromboxane receptor antagonist tbxa2r	other
BRD-K52113681-003-02-1	CP-339818	potassium channel blocker	KCNA3	14	15	-0.3115687501215	-0.292479475609	-0.019089274512499976	0.615737058040257	1.0	potassium channel blocker kcna3	other
BRD-K38913877-300-01-9	azimilide	potassium channel blocker	KCNA5, KCNE1, KCNH2, KCNQ1	15	15	-0.184920769021	-0.165834525909	-0.019086243111999995	0.1844100692216365	1.0	potassium channel blocker kcna5, kcne1, kcnh2, kcnq1	other
BRD-K34341643-001-01-4	glasdegib	hedgehog pathway inhibitor	SMO	14	15	0.2584504000425	0.277503201353	-0.019052801310500023	0.3261094520204889	1.0	hedgehog pathway inhibitor smo	other
BRD-K14618467-001-04-6	IKK-16	IKK inhibitor	IKBKB	16	15	-0.08268726064195	-0.0636748645928	-0.019012396049150004	0.7072734240075108	1.0	ikk inhibitor ikbkb	other
BRD-K00739965-001-01-9	guacetisal	immunosuppressant		16	15	-0.04778991247495	-0.0290050202772	-0.01878489219775	0.9842314483424721	1.0	immunosuppressant 	other
BRD-K71926323-001-13-8	marbofloxacin	bacterial DNA gyrase inhibitor		15	15	-0.172408321756	-0.153827176598	-0.018581145157999995	0.5897385933186072	1.0	bacterial dna gyrase inhibitor 	other
BRD-K60241851-001-11-9	isodibut	aldehyde reductase inhibitor		16	15	0.1028433455512	0.121410728075	-0.018567382523799997	0.9527189705620791	1.0	aldehyde reductase inhibitor 	other
BRD-K14571191-001-01-6	zometapine			16	15	0.14388673440799998	0.162167345353	-0.018280610945000025	0.5935945343883464	1.0	 	other
BRD-A71725768-001-01-3	metoxibutropate	cyclooxygenase inhibitor	PTGS1, PTGS2	15	15	0.0519872883351	0.070251097802	-0.018263809466900004	0.9009714934164412	1.0	cyclooxygenase inhibitor ptgs1, ptgs2	other
BRD-K31553034-001-03-0	zibotentan	endothelin receptor antagonist	EDNRA	15	15	0.25803000001	0.276271523841	-0.01824152383100003	0.6783024655972324	1.0	endothelin receptor antagonist ednra	other
BRD-A22256192-003-22-7	terazosin	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, KCNH2, KCNH6, KCNH7	15	15	-0.0477388438116	-0.0295179974675	-0.018220846344099997	0.9338864180775845	1.0	adrenergic receptor antagonist adra1a, adra1b, adra1d, kcnh2, kcnh6, kcnh7	other
BRD-K45216060-001-10-0	mequinol		TYR	15	15	0.510537767754	0.528740238813	-0.01820247105900008	0.506914933812496	1.0	 tyr	other
