broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance	test_family
BRD-K67566344-001-07-5	ku-0063794	mTOR inhibitor	MTOR	15	14	0.36227210501	-0.056038871645	0.418310976655	0.5268434347302196	1.0	mtor inhibitor mtor	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-K60130390-001-02-1	UNC0642	histone lysine methyltransferase inhibitor	EHMT1, EHMT2	16	15	0.0032822418597825	-0.415039492764	0.4183217346237824	0.1726518529332787	1.0	histone lysine methyltransferase inhibitor ehmt1, ehmt2	other	BH across all 4,686 tested PRISM compounds
BRD-K68693535-001-03-4	lidamidine	adrenergic receptor agonist		15	15	0.275676249867	-0.144035461041	0.419711710908	0.4553018964198552	1.0	adrenergic receptor agonist 	other	BH across all 4,686 tested PRISM compounds
BRD-A91452556-001-04-0	estradiol-cypionate	estrogen receptor agonist	ESR1	15	15	-0.266123991281	-0.687841890068	0.421717898787	0.0619696199140387	1.0	estrogen receptor agonist esr1	other	BH across all 4,686 tested PRISM compounds
BRD-K24476327-001-01-3	icaritin	PPAR receptor antagonist	PDE5A	16	15	0.348380595449	-0.0794549873976	0.4278355828466	0.0604355825589931	1.0	ppar receptor antagonist pde5a	other	BH across all 4,686 tested PRISM compounds
BRD-A36057565-001-01-0	bruceantin	protein synthesis inhibitor		14	15	-3.066957945675	-3.49649132892	0.4295333832449999	0.1979251021111571	1.0	protein synthesis inhibitor 	other	BH across all 4,686 tested PRISM compounds
BRD-K41213548-001-02-0	KW-2478	HSP inhibitor		14	15	-2.399663378275	-2.82978997027	0.4301265919949997	0.3261094520204889	1.0	hsp inhibitor 	other	BH across all 4,686 tested PRISM compounds
BRD-K66296774-236-11-3	fluvastatin	HMGCR inhibitor	HMGCR	14	13	-1.49890371707	-1.9300872427	0.4311835256299998	0.827142619238411	1.0	hmgcr inhibitor hmgcr	other	BH across all 4,686 tested PRISM compounds
BRD-K61097567-001-08-5	SB-218795	tachykinin antagonist	TACR3	14	15	-0.4904842086285	-0.922090909217	0.4316067005885	0.3050688106228865	1.0	tachykinin antagonist tacr3	other	BH across all 4,686 tested PRISM compounds
BRD-K87124298-001-03-4	OSI-027	mTOR inhibitor	MTOR	15	15	-0.0599390995237	-0.491694806519	0.4317557069952999	0.4306479898480777	1.0	mtor inhibitor mtor	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-K59284035-001-07-9	chrysophanic-acid	EGFR inhibitor	EGFR, MTOR	15	15	0.180567060832	-0.251843256292	0.432410317124	0.0563923642268315	1.0	egfr inhibitor egfr, mtor	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-A50675702-001-07-1	fipronil	chloride channel blocker, GABA gated chloride channel blocker		14	15	0.1732720744945	-0.259842322481	0.4331143969754999	0.0055821436090649	1.0	chloride channel blocker, gaba gated chloride channel blocker 	other	BH across all 4,686 tested PRISM compounds
BRD-K96631475-001-04-0	10-deacetylbaccatin	antitumor agent		15	15	-0.282559430008	-0.716158131484	0.433598701476	0.3400858902842717	1.0	antitumor agent 	other	BH across all 4,686 tested PRISM compounds
